fullVisitorId,whitelist,intended_page,country,operatingSystem,browser,source,medium,inferred_category,freshness,dwell_time,pageviews,hits,visitNumber,popularity,author,hist_whitelist,hist_hits,hist_pageviews,hist_dwell_time,hist_intended_page,hist_inferred_category,hist_visitNumber,hist_author
1,0,1,1,1,1,1,1,1,5,0,1,2,1,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,1,1,1,1,1,1,1,5,0,8,5,2,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,1,1,1,1,1,1,1,5,10,5,5,3,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,4,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,2,4,5,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,2,1,1,1,1,1,2,10,10,3,4,6,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,7,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,4,5,8,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,5,5,9,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,4,10,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,1,2,2,2,2,2,1,5,10,4,4,11,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,1,2,12,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,3,13,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,2,4,14,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,1,2,15,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,16,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,17,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,1,1,1,1,1,1,1,5,0,1,2,1,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,1,1,1,1,1,1,1,5,0,8,5,2,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,1,1,1,1,1,1,1,5,10,5,5,3,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,4,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,2,4,5,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,2,1,1,1,1,1,2,10,10,3,4,6,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,7,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,4,5,8,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,5,5,9,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,4,10,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,1,2,2,2,2,2,1,5,10,4,4,11,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,1,2,12,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,3,13,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,2,4,14,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,1,2,15,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,16,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,17,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,1,1,1,1,1,1,1,5,0,1,2,1,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,1,1,1,1,1,1,1,5,0,8,5,2,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,1,1,1,1,1,1,1,5,10,5,5,3,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,4,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,2,4,5,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,1,2,1,1,1,1,1,2,10,10,3,4,6,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,3,4,7,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
1,0,2,1,1,1,1,1,2,10,0,4,5,8,100,2,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,5,5,9,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,4,10,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,1,2,2,2,2,2,1,5,10,4,4,11,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,1,2,12,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,1,2,2,2,2,2,1,5,0,2,3,13,50,1,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,2,4,14,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,1,3,2,2,2,2,2,1,5,10,1,2,15,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,16,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"
2,0,3,2,2,2,2,2,1,5,0,3,4,17,50,3,"[0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1]"